user_id,nickname,gender,age,occupation,interests,region,device_type,register_time
user_08690556,钟丽,1,22,企业职员,"['时尚', '旅行', '摄影', '音乐']",山东,iOS,2015-04-30 16:38:01
user_36997855,傅健,1,48,学生,"['美食', '科技', '阅读', '摄影', '音乐']",广东,Android,2015-07-14 03:22:54
user_99167280,王红霞,0,18,自由职业者,"['其他', '阅读', '美食']",福建,Windows,2019-07-05 18:12:45
user_88161576,郑婷婷,0,40,其他,"['教育', '阅读', '运动']",广东,Android,2015-05-17 22:59:43
user_49786195,宋强,1,36,学生,"['其他', '阅读', '旅行', '音乐']",河南,Windows,2016-01-29 07:52:02
user_69447539,杨建军,1,33,企业职员,"['电影', '旅行', '运动', '时尚', '音乐']",广东,Windows,2017-05-15 23:37:27
user_21364988,李春梅,1,21,其他,"['运动', '音乐']",四川,Windows,2016-02-02 12:24:38
user_20733613,毛燕,2,48,事业单位员工,"['时尚', '旅行', '音乐']",安徽,Windows,2016-05-30 13:10:29
user_51180017,何淑珍,0,39,待业,"['教育', '旅行', '运动', '音乐']",河南,iOS,2015-03-24 17:49:59
user_77033455,段畅,0,23,学生,"['教育', '时尚', '健康']",浙江,iOS,2015-10-18 02:05:46
user_47074777,魏平,0,30,学生,"['电影', '美食', '运动', '音乐']",北京,Android,2020-10-03 23:44:12
user_30002297,栗敏,1,28,自由职业者,"['电影', '宠物', '美食', '运动', '音乐']",四川,iOS,2015-11-20 01:14:04
user_64703980,陈云,1,52,学生,"['电影', '健康', '美食', '旅行', '音乐']",山东,Android,2019-04-08 03:06:42
user_36300933,黄玲,0,45,事业单位员工,"['其他', '旅行', '音乐']",山东,Android,2019-02-25 07:12:12
user_59916969,何丽,0,20,学生,"['教育', '时尚', '科技', '音乐']",广东,Windows,2020-01-08 02:59:48
user_16176455,吴建平,1,25,学生,"['宠物', '健康', '科技', '阅读', '音乐']",江苏,Windows,2020-10-11 21:45:31
user_22921918,刘超,0,18,学生,"['游戏', '美食', '音乐']",河南,Windows,2015-09-18 02:54:11
user_60669604,刘楠,0,21,学生,"['美食', '旅行', '音乐']",河南,Android,2020-04-14 21:45:20
user_55512048,张瑜,0,28,自由职业者,"['游戏', '运动', '其他', '阅读', '音乐']",广东,iOS,2017-03-09 11:56:04
user_90177541,李成,1,20,学生,"['其他', '科技', '旅行', '音乐']",浙江,Windows,2015-03-10 08:07:56
user_88310257,姜琳,0,39,学生,"['电影', '旅行', '摄影']",山东,iOS,2015-08-05 08:02:00
user_40964850,黄成,0,22,企业职员,"['宠物', '美食', '运动', '时尚', '音乐']",河南,Android,2017-03-17 13:08:02
user_62810304,李辉,0,51,个体经营者,"['阅读', '旅行', '美食']",北京,Windows,2018-05-02 05:51:51
user_56725837,曹玉华,0,36,自由职业者,"['游戏', '电影', '旅行', '运动', '摄影']",广东,Windows,2015-01-20 15:14:12
user_03023547,吴丹丹,1,40,事业单位员工,"['电影', '旅行', '运动']",广东,Android,2016-09-17 12:43:53
user_88101940,边磊,0,52,事业单位员工,"['其他', '电影', '运动', '音乐']",湖南,Android,2016-09-18 03:24:57
user_55856964,陆慧,1,29,学生,"['阅读', '旅行', '音乐']",浙江,iOS,2018-06-03 16:19:42
user_09483297,周淑英,0,40,学生,"['旅行', '艺术', '运动', '宠物']",四川,Android,2016-01-01 09:18:13
user_78641538,姬东,0,41,学生,"['旅行', '运动', '其他', '科技', '摄影']",江苏,Windows,2017-06-21 02:52:48
user_96806293,孔梅,0,30,企业职员,"['其他', '旅行', '音乐']",安徽,Android,2016-11-18 18:12:45
user_33592111,张瑞,1,38,企业职员,"['教育', '时尚']",安徽,iOS,2015-12-23 16:29:03
user_46783046,唐小红,0,52,学生,"['美食', '旅行', '艺术', '其他', '时尚']",湖南,Windows,2016-10-07 14:57:10
user_28460489,凌秀珍,1,39,自由职业者,"['游戏', '电影', '旅行', '运动', '音乐']",浙江,Android,2016-10-03 02:08:09
user_75600020,刘浩,0,37,企业职员,"['游戏', '教育', '运动', '阅读', '音乐']",云南,iOS,2019-10-22 12:30:00
user_91144859,白阳,1,24,事业单位员工,"['电影', '宠物', '美食', '运动', '科技', '摄影']",山东,Android,2016-12-13 12:46:10
user_92857569,鲍志强,1,60,学生,"['电影', '教育', '美食', '旅行', '运动', '音乐']",江苏,Android,2015-06-17 10:48:56
user_80709853,宫杨,0,44,企业职员,"['游戏', '运动', '音乐']",云南,iOS,2017-11-30 01:48:01
user_30243294,羊柳,1,18,自由职业者,"['电影', '美食', '旅行', '音乐']",湖南,Android,2015-11-07 23:45:07
user_90132284,李芳,1,22,企业职员,"['美食', '宠物', '健康']",浙江,Windows,2015-10-31 22:53:40
user_00730618,王娜,0,40,事业单位员工,"['科技', '美食', '音乐']",河南,Windows,2016-09-16 20:21:00
user_14652815,王飞,1,52,学生,"['教育', '旅行', '运动', '摄影']",江西,Android,2017-10-03 15:29:27
user_08923450,翟玉英,1,41,事业单位员工,"['游戏', '电影', '运动']",河南,Windows,2016-01-15 15:54:20
user_87785235,陈桂芝,0,30,企业职员,"['电影', '艺术', '时尚', '摄影', '音乐']",广东,Windows,2016-10-11 07:44:30
user_36521575,沈淑华,1,31,企业职员,"['电影', '阅读', '旅行', '运动']",河南,Android,2016-10-08 10:22:44
user_06193473,熊坤,0,21,企业职员,"['游戏', '阅读', '旅行', '艺术']",江苏,Windows,2016-10-28 16:38:18
user_60659284,潘琴,2,55,企业职员,"['电影', '摄影', '音乐']",广东,Android,2018-03-06 20:55:48
user_52351485,马鹏,0,60,学生,"['电影', '艺术', '运动', '科技', '音乐']",山东,iOS,2017-12-18 01:09:09
user_90128498,赵雪,1,52,其他,"['美食', '运动']",四川,Windows,2016-08-14 09:55:37
user_95875705,张秀芳,2,27,企业职员,"['电影', '艺术']",河北,iOS,2015-10-10 02:10:00
user_32125031,张丽华,0,46,学生,"['教育', '电影', '音乐']",江苏,Android,2018-11-17 18:42:51
user_90655308,徐帅,1,48,企业职员,"['教育', '宠物', '音乐']",浙江,Windows,2019-05-28 14:07:29
user_33043926,佟静,1,39,学生,"['美食', '运动', '时尚', '摄影', '音乐']",江苏,Windows,2019-10-22 18:01:48
user_76835127,朱楠,1,18,自由职业者,"['电影', '旅行', '运动', '健康']",四川,Windows,2019-02-16 15:22:26
user_77733852,张伟,0,36,学生,"['电影', '美食', '运动', '艺术', '科技', '阅读']",浙江,Android,2019-01-01 21:55:34
user_43874411,纪淑英,0,26,学生,"['游戏', '电影', '健康', '美食', '旅行', '运动']",湖南,iOS,2015-11-19 19:51:15
user_36769987,苏桂芝,1,18,学生,"['教育', '电影', '音乐']",云南,Windows,2019-09-13 22:18:32
user_97423948,陈华,1,46,待业,"['电影', '美食', '运动', '音乐']",安徽,iOS,2019-05-22 13:21:59
user_01822118,姜华,1,18,学生,"['教育', '美食', '旅行', '运动']",山东,Android,2017-10-06 12:29:59
user_97395974,胡晨,0,29,企业职员,"['游戏', '电影', '科技', '摄影', '音乐']",浙江,Windows,2018-11-30 04:31:02
user_19266031,龚波,0,56,事业单位员工,"['其他', '时尚', '宠物', '音乐']",广东,Android,2016-12-20 12:41:05
user_81210151,赵艳,1,59,学生,"['时尚', '美食', '旅行', '运动']",江苏,Windows,2020-04-26 23:05:27
user_88970188,冯婷婷,2,34,学生,"['电影', '宠物', '科技', '阅读', '音乐']",广东,Windows,2016-12-15 05:10:11
user_32829849,成文,0,60,自由职业者,"['电影', '宠物', '运动', '音乐']",湖北,Android,2018-03-22 02:28:22
user_44575854,刘建华,2,24,自由职业者,"['电影', '教育', '美食', '运动', '阅读']",四川,Windows,2016-12-03 12:17:00
user_25826843,陈斌,1,32,个体经营者,"['游戏', '电影', '宠物', '教育', '科技']",江苏,Android,2018-12-04 21:53:08
user_60093238,韩帅,1,51,学生,"['阅读', '宠物', '运动', '音乐']",江苏,Windows,2019-07-07 16:32:58
user_55996516,林建华,0,25,待业,"['游戏', '其他', '阅读', '音乐']",江西,Windows,2018-07-23 17:23:05
user_23259381,康洁,1,26,企业职员,"['科技', '美食', '旅行', '艺术']",广东,iOS,2016-11-13 17:20:58
user_25857140,徐莉,1,45,个体经营者,"['其他', '旅行', '音乐']",广东,iOS,2019-03-11 12:29:23
user_80011537,董梅,1,48,学生,"['教育', '时尚', '旅行']",重庆,Android,2015-07-09 06:28:28
user_94901003,刘宁,1,52,待业,"['电影', '美食', '运动', '其他', '阅读']",广东,Android,2015-04-19 20:40:38
user_81410992,陈利,2,23,企业职员,"['教育', '科技', '美食', '电影']",四川,iOS,2016-03-16 19:00:17
user_48007397,蒋燕,1,20,学生,"['教育', '阅读', '音乐']",湖北,Windows,2016-03-30 08:03:08
user_23439588,刘鹏,1,33,学生,"['艺术', '运动', '音乐']",湖北,Windows,2017-08-23 20:01:03
user_56398037,段平,2,57,自由职业者,"['宠物', '运动', '阅读', '摄影', '音乐']",四川,Windows,2017-06-16 12:38:33
user_61769397,陆燕,0,44,企业职员,"['游戏', '教育', '旅行']",湖南,iOS,2016-04-26 13:21:52
user_38809214,罗琳,0,34,学生,"['健康', '阅读', '旅行', '音乐']",福建,iOS,2016-07-09 04:35:03
user_07366919,李建国,1,41,自由职业者,"['游戏', '教育', '旅行', '其他', '阅读', '摄影']",四川,Android,2015-09-17 06:09:42
user_92558209,黎峰,0,56,事业单位员工,"['电影', '美食', '运动', '音乐']",安徽,Windows,2017-11-26 17:01:38
user_61762695,王云,1,55,企业职员,"['时尚', '阅读', '摄影', '音乐']",河南,Android,2015-11-21 00:05:47
user_18752170,张艳,0,25,学生,"['时尚', '阅读', '美食', '艺术']",广东,Windows,2015-02-11 08:28:42
user_22865929,戴桂荣,0,44,企业职员,"['阅读', '旅行', '音乐']",四川,Windows,2018-01-24 07:25:38
user_73936227,洪东,0,21,自由职业者,"['电影', '运动', '音乐']",河南,iOS,2017-12-09 11:04:25
user_17260080,张颖,1,18,学生,"['教育', '美食']",湖南,Android,2016-07-26 00:20:10
user_26444475,刘宁,1,42,企业职员,"['电影', '美食']",山东,Android,2018-04-24 10:49:10
user_11760650,严建平,0,47,学生,"['其他', '阅读', '旅行', '音乐']",江苏,iOS,2017-12-02 02:11:49
user_01906641,杨娜,1,49,自由职业者,"['其他', '时尚', '阅读', '旅行']",浙江,Android,2015-08-15 20:19:50
user_16712560,潘莹,0,26,企业职员,"['教育', '运动', '音乐']",四川,Windows,2016-10-24 17:50:47
user_88441961,洪萍,1,49,自由职业者,"['其他', '科技', '美食', '运动']",福建,Windows,2015-11-27 05:02:15
user_60660983,余玉英,1,59,学生,"['游戏', '阅读', '健康']",河北,iOS,2018-11-28 10:04:21
user_75759214,温秀兰,0,40,企业职员,"['阅读', '美食', '音乐']",江西,Windows,2017-03-08 19:45:05
user_10804850,王淑兰,0,30,学生,"['教育', '旅行', '摄影']",河南,Windows,2018-09-18 11:01:23
user_25275010,周凤兰,0,56,退休,"['电影', '运动', '其他', '科技', '音乐']",河南,Windows,2019-01-20 21:21:56
user_42471342,庄坤,1,24,企业职员,"['游戏', '教育', '音乐', '科技']",山东,Android,2016-05-01 14:39:18
user_96098589,程伟,1,38,学生,"['电影', '宠物', '旅行', '其他', '科技']",河南,Android,2016-05-24 12:32:33
user_55538977,黄波,0,21,事业单位员工,"['时尚', '阅读', '运动', '音乐']",重庆,Windows,2019-03-05 09:05:48
user_31716900,田佳,0,47,企业职员,"['时尚', '宠物', '健康', '运动', '科技', '音乐']",山东,Android,2015-02-11 11:14:01
user_76538433,董晶,0,29,自由职业者,"['教育', '电影', '摄影', '音乐']",广东,Windows,2016-11-11 00:57:05
user_06230629,罗想,0,20,学生,"['电影', '科技', '运动', '音乐']",山东,iOS,2019-09-13 19:34:01
user_99264544,余雷,1,35,学生,"['电影', '旅行', '运动']",河北,iOS,2017-07-04 02:33:34
user_57076881,赵伟,0,59,企业职员,"['游戏', '阅读', '音乐']",江苏,Windows,2017-10-25 23:48:21
user_38934614,张凤英,0,23,事业单位员工,"['其他', '教育', '旅行', '运动']",江苏,iOS,2015-08-23 01:18:12
user_11459487,徐楠,0,18,学生,"['游戏', '电影', '美食', '运动', '其他']",江苏,Android,2019-01-25 20:21:17
user_12581353,邱兵,0,24,自由职业者,"['电影', '阅读', '旅行', '科技']",广东,Android,2015-11-05 05:34:18
user_36985616,林颖,0,28,学生,"['美食', '旅行', '运动', '时尚', '阅读', '音乐']",浙江,Android,2015-01-30 02:42:40
user_36321705,袁芳,0,36,退休,"['教育', '旅行', '运动', '音乐']",江苏,Windows,2016-07-15 18:02:38
user_66602943,王丽,0,42,学生,"['美食', '运动']",河北,iOS,2020-01-14 23:11:31
user_26918735,孙想,0,52,企业职员,"['其他', '电影', '旅行', '摄影']",江苏,iOS,2019-08-20 05:57:45
user_58634663,赵峰,0,28,待业,"['电影', '美食', '旅行', '摄影']",广东,Windows,2020-11-22 05:50:23
user_20300225,石建平,0,21,事业单位员工,"['科技', '美食', '阅读', '音乐']",湖北,Windows,2015-02-14 02:19:25
user_03349728,王艳,2,47,学生,"['旅行', '运动', '其他', '科技', '音乐']",浙江,Windows,2017-04-04 04:27:32
user_48169814,李丽华,1,19,学生,"['阅读', '摄影', '艺术', '音乐']",黑龙江,iOS,2015-11-22 17:17:08
user_04834724,房玉,1,33,学生,"['美食', '旅行', '音乐']",黑龙江,Android,2019-10-16 01:52:55
user_67291417,雷秀芳,0,28,自由职业者,"['游戏', '旅行', '运动']",四川,Android,2017-06-04 15:15:51
user_97797987,徐艳,1,45,企业职员,"['运动', '音乐']",浙江,iOS,2016-06-12 23:55:22
user_59427776,曹丹,2,23,学生,"['电影', '阅读', '运动']",江苏,iOS,2015-07-16 19:26:15
user_61206495,吕静,2,56,个体经营者,"['电影', '运动', '其他', '时尚', '音乐']",河南,iOS,2020-09-15 14:15:13
user_79575384,杨浩,1,22,学生,"['电影', '阅读', '音乐']",山东,iOS,2016-10-18 17:12:23
user_23307804,刘建军,0,26,学生,"['科技', '旅行', '音乐']",浙江,Android,2017-07-07 04:12:38
user_83732880,赵玉英,0,32,企业职员,"['科技', '时尚', '运动', '音乐']",重庆,Android,2015-11-12 23:53:19
user_78255171,赵文,1,47,学生,"['阅读', '运动', '音乐']",浙江,Windows,2019-11-19 00:38:30
user_89263018,岳军,0,49,学生,"['美食', '旅行', '音乐']",四川,Android,2015-12-15 07:02:36
user_20471728,马琴,1,18,学生,"['游戏', '健康', '旅行', '运动', '时尚', '音乐']",湖南,iOS,2018-09-23 06:35:20
user_86384401,邵婷婷,2,43,学生,"['美食', '旅行', '运动']",北京,Windows,2017-12-21 08:39:30
user_33233531,朱桂英,0,26,学生,"['游戏', '旅行', '摄影', '运动']",河南,Windows,2015-03-04 18:43:34
user_28786245,王雪,0,56,退休,"['电影', '阅读', '摄影']",山东,Android,2018-04-20 06:52:34
user_36836785,陶阳,0,39,企业职员,"['电影', '美食', '旅行']",广东,Android,2016-08-29 03:43:49
user_26821037,殷杰,0,53,学生,"['电影', '宠物', '旅行', '运动', '其他', '阅读']",广东,Windows,2015-01-20 05:26:56
user_04382733,李丽华,1,51,其他,"['游戏', '电影', '时尚', '科技', '音乐']",浙江,Windows,2015-06-21 09:29:41
user_60178007,刘晶,0,35,事业单位员工,"['电影', '旅行', '科技', '阅读', '摄影']",广东,Android,2018-10-18 21:48:12
user_18145064,杨春梅,0,57,事业单位员工,"['电影', '阅读', '旅行', '音乐']",江苏,Android,2016-08-16 08:21:19
user_24191765,刘浩,1,39,自由职业者,"['阅读', '运动', '音乐']",河南,Windows,2018-12-20 03:40:58
user_13274647,崔鹏,1,21,企业职员,"['其他', '阅读', '运动']",湖南,Android,2018-12-07 06:48:15
user_51369228,蔡刚,1,33,学生,"['美食', '运动', '音乐']",四川,iOS,2015-09-24 14:07:43
user_48151272,张军,0,33,个体经营者,"['科技', '运动', '音乐']",湖北,Windows,2015-05-11 00:47:13
user_10523568,李林,1,23,自由职业者,"['音乐', '健康']",广东,Android,2015-03-11 20:46:41
user_89700522,孙霞,2,24,学生,"['阅读', '旅行', '美食']",江苏,Windows,2016-03-06 23:14:53
user_70375308,许林,0,22,学生,"['电影', '健康', '美食', '科技', '阅读']",湖南,iOS,2015-12-05 13:39:49
user_41511076,李杰,1,54,企业职员,"['美食', '旅行', '运动']",北京,iOS,2018-07-25 14:14:34
user_97373000,赵岩,0,51,企业职员,"['游戏', '电影', '美食', '健康']",福建,iOS,2016-03-14 21:33:14
user_84553736,李莉,0,26,退休,"['其他', '旅行', '运动']",云南,Windows,2016-09-25 10:44:26
user_87481908,杨琳,0,20,自由职业者,"['教育', '电影', '运动', '音乐']",山东,Android,2017-03-10 12:15:16
user_58315882,林慧,0,45,事业单位员工,"['教育', '美食', '音乐']",浙江,Windows,2017-02-07 06:51:48
user_93364268,阎宁,1,37,学生,"['游戏', '电影', '宠物']",安徽,Android,2020-12-22 19:45:13
user_24564530,曾桂芳,0,23,自由职业者,"['时尚', '阅读', '旅行', '运动']",湖北,Windows,2016-06-12 06:23:20
user_95307284,张桂英,0,38,自由职业者,"['电影', '美食', '健康']",山东,iOS,2015-04-28 12:36:53
user_51338659,孙玲,0,41,企业职员,"['旅行', '运动', '其他', '科技', '音乐']",湖南,Android,2015-10-05 20:03:33
user_37453658,雷健,0,51,自由职业者,"['电影', '旅行', '运动', '音乐']",广东,Windows,2018-11-12 15:42:31
user_86852920,刘丽华,0,44,企业职员,"['电影', '美食', '摄影', '运动']",重庆,iOS,2015-02-19 16:09:15
user_92244926,杨金凤,0,42,企业职员,"['电影', '运动', '其他', '摄影', '音乐']",福建,iOS,2017-11-29 01:05:25
user_48410877,朱琴,0,32,自由职业者,"['教育', '阅读', '旅行', '音乐']",贵州,iOS,2019-01-22 07:13:57
user_82232247,陈丹,1,58,企业职员,"['电影', '美食', '旅行']",河北,iOS,2020-06-10 00:13:37
user_09067205,郭坤,0,57,个体经营者,"['电影', '宠物', '教育', '阅读', '音乐']",浙江,Windows,2015-12-19 23:05:32
user_73993764,沈小红,1,19,学生,"['游戏', '阅读', '艺术']",山东,Android,2015-05-20 14:31:14
user_82283818,蒋小红,0,57,企业职员,"['科技', '旅行', '摄影', '音乐']",湖南,Windows,2015-07-19 10:23:06
user_13722675,李建平,0,58,学生,"['美食', '运动', '音乐']",广东,iOS,2016-02-17 19:38:50
user_50385511,陈洁,0,22,学生,"['其他', '美食', '摄影']",江苏,Windows,2015-07-14 05:08:17
user_72099271,周玉英,0,33,企业职员,"['电影', '运动', '音乐']",四川,Windows,2017-08-23 03:08:19
user_91650635,陈娟,0,27,学生,"['科技', '美食', '旅行', '运动']",浙江,Windows,2020-04-12 15:20:11
